Temperature,Humidity,Wind Speed,Weather Detail
29.07,79,1,Rain
29.07,79,1,Rain
31.7,68,3.1,Clouds
31.7,68,3.1,Clouds
31.7,68,3.1,Clouds
32.94,62,4.1,Clouds
32.94,62,4.1,Clouds
32.93,70,2.6,Clouds
32.82,65,2.1,Clouds
32.4,65,2.1,Clouds
32.4,65,2.1,Clouds
28.9,80,1.5,Clouds
28.9,80,1.5,Clouds
28.9,80,1.5,Clouds
28.3,82,1,Clouds
28.3,82,1,Clouds
28.3,82,1,Clouds
27.1,78,1.5,Clouds
27.72,78,1.5,Clouds
27.04,94,2.1,Clouds
26.96,94,3.6,Clouds
26.97,94,2.6,Clouds
26.96,94,2.1,Clouds
27.38,94,2.1,Clouds
28,94,3.6,Clouds
29.25,74,2.6,Clouds
30.66,74,4.1,Clouds
30.03,79,5.1,Clouds
31.28,66,6.2,Clouds
31.51,66,5.7,Clouds
30.9,66,6.2,Clouds
30.89,66,6.2,Clouds
30.43,66,6.2,Clouds
29.3,73,4.6,Clouds
28.39,73,4.6,Clouds
27.89,83,3.1,Clouds
27.86,82,2.6,Clouds
27.83,83,3.6,Clouds
27.6,82,4.6,Clouds
27.87,83,4.1,Clouds
27.85,83,3.6,Clouds
27.75,88,3.6,Clouds
27.1,88,2.6,Clouds
27.11,88,2.6,Clouds
26.85,88,2.6,Clouds
26.87,88,2.6,Clouds
26.23,88,2.1,Clouds
27.68,83,2.6,Clouds
28.93,79,4.1,Clouds
29.55,74,4.6,Clouds
30.89,70,5.7,Clouds
30.9,66,5.7,Clouds
30.89,70,5.7,Clouds
30.81,70,5.7,Clouds
30.83,74,5.7,Clouds
30.81,74,6.2,Clouds
30.51,70,5.1,Clouds
29.9,79,5.1,Clouds
29.26,83,4.6,Clouds
28.7,83,3.1,Clouds
28.07,88,2.1,Clouds
28.08,88,3.6,Clouds
28.04,88,3.6,Clouds
28.03,94,3.6,Clouds
28.04,88,4.1,Clouds
27.81,88,3.6,Clouds
27.83,88,2.6,Clouds
27.81,88,2.6,Clouds
27.08,88,1.5,Clouds
27.07,88,1.5,Clouds
26.45,94,2.6,Clouds
28.64,88,1,Clouds
29.23,79,1.5,Clouds
30.51,74,1.5,Clouds
30.51,70,3.6,Clouds
29.9,74,3.6,Clouds
30.51,70,5.1,Clouds
31.08,70,4.6,Clouds
31.73,62,5.7,Clouds
31.7,59,5.7,Clouds
30.62,70,5.1,Clouds
30,79,4.6,Clouds
30,79,2.1,Clouds
29.59,74,1.5,Clouds
28.97,83,1.5,Clouds
28.96,79,0.5,Clouds
28.7,79,1,Clouds
28.07,94,1,Clouds
28.08,88,0.5,Clouds
27.81,83,0.5,Clouds
27.83,83,0.5,Clouds
27.19,94,1,Clouds
26.92,94,0.5,Clouds
26.27,94,0.5,Clouds
26.3,94,1,Clouds
28.49,88,1.5,Clouds
29.77,79,2.1,Clouds
29.74,79,2.1,Clouds
31.57,74,3.1,Clouds
32.83,62,2.6,Clouds
32.81,66,4.1,Clouds
33.51,59,4.1,Clouds
32.9,66,5.1,Clouds
33.51,59,3.6,Clouds
31.55,66,5.1,Clouds
30.93,70,4.6,Clouds
29.68,83,3.1,Clouds
29.19,83,1,Clouds
29.83,79,2.6,Clouds
